PlayerId,PlayerLink,ShirtNumber,Position,OfficialName,LastName,GamesPlayedTotal,MinutesTotal,SecondsTotal,PointsTotal,FieldGoals2PointsMadeTotal,FieldGoals2PointsAttemptedTotal,FieldGoals3PointsMadeTotal,FieldGoals3PointsAttemptedTotal,FreeThrowsMadeTotal,FreeThrowsAttemptedTotal,OffensiveReboundsTotal,DefensiveReboundsTotal,BlocksTotal,AssistsTotal,TurnOversTotal,StealsTotal,PersonalFoulsTotal,Efficiency,PlusMinus,DoubleDoubles,TripleDoubles
151360,/womensbasketballworldcup/2022/player/Sasa-Cadjo,N/A,Shooting Guard,Sasa Cadjo (SRB),Cadjo,6,131,7895,55,4,11,15,42,2,2,2,9,1,8,4,10,10,47,-32,0,0
151020,/womensbasketballworldcup/2022/player/Nevena-Jovanovic,N/A,Shooting Guard,Nevena Jovanovic (SRB),Jovanovic,6,73,4423,8,2,10,1,6,1,2,1,12,0,6,6,1,1,8,-30,0,0
196351,/womensbasketballworldcup/2022/player/Katarina-Zec,N/A,Shooting Guard,Katarina Zec (SRB),Zec,6,31,1878,4,2,8,0,5,0,0,2,1,0,2,5,1,7,-6,-27,0,0
147107,/womensbasketballworldcup/2022/player/Pamela-Rosado,N/A,Point Guard,Pamela Rosado (PUR),Rosado,6,155,9326,23,6,10,3,16,2,2,0,15,0,13,16,3,3,21,-56,0,0
195511,/womensbasketballworldcup/2022/player/Jennifer-O-Neill,N/A,Point Guard,Jennifer O'Neill (PUR),O'Neill,5,118,7101,39,8,23,6,17,5,6,5,15,0,8,11,4,10,33,-52,0,0
181909,/womensbasketballworldcup/2022/player/Tayra-Melendez,N/A,Forward,Tayra Melendez (PUR),Melendez,5,97,5858,22,7,13,2,6,2,2,5,7,5,7,3,5,5,38,8,0,0
235581,/womensbasketballworldcup/2022/player/Isalys-Quinones,N/A,Power Forward,Isalys Quinones (PUR),Quinones,6,183,11017,51,15,35,5,16,6,13,7,22,0,5,4,4,14,47,-51,0,0
225517,/womensbasketballworldcup/2022/player/India-Pagan,N/A,Center,India Pagan (PUR),Pagan,4,50,3036,6,3,7,0,2,0,0,1,4,0,1,3,0,4,3,-52,0,0
291149,/womensbasketballworldcup/2022/player/Brianna-Jones,N/A,Forward,Brianna Jones (PUR),Jones,6,63,3813,8,1,9,2,6,0,0,4,4,0,1,0,1,7,6,-18,0,0
236841,/womensbasketballworldcup/2022/player/Arella-Guirantes,N/A,Shooting Guard,Arella Guirantes (PUR),Guirantes,6,180,10802,109,40,88,4,15,17,23,7,32,3,21,16,7,8,98,-46,1,0
323904,/womensbasketballworldcup/2022/player/Trinity-San-Antonio,N/A,Point Guard,Trinity San Antonio (PUR),San Antonio,5,76,4601,45,15,32,1,5,12,14,6,10,1,5,10,8,9,42,-19,0,0
188776,/womensbasketballworldcup/2022/player/Sofia-Roma,N/A,Power Forward,Sofia Roma (PUR),Roma,5,53,3199,9,4,9,0,1,1,2,1,6,1,2,0,1,3,13,-31,0,0
314595,/womensbasketballworldcup/2022/player/Mya-Hollingshed,N/A,Power Forward,Mya Hollingshed (PUR),Hollingshed,6,161,9698,78,18,40,12,28,6,8,4,33,3,11,7,4,14,86,-32,1,0
183622,/womensbasketballworldcup/2022/player/Marieme-Badiane,N/A,Center,Marieme Badiane (FRA),Badiane,6,113,6838,20,9,23,0,4,2,2,7,18,5,3,4,4,11,35,-4,0,0
196661,/womensbasketballworldcup/2022/player/Lisa-Berkani,N/A,Shooting Guard,Lisa Berkani (FRA),Berkani,5,45,2719,12,3,12,2,6,0,0,0,3,0,1,2,1,4,2,-48,0,0
204402,/womensbasketballworldcup/2022/player/Alexia-Chery,N/A,Power Forward,Alexia Chery (FRA),Chery,6,161,9709,61,15,29,7,24,10,11,2,21,2,5,6,4,12,57,40,0,0
226144,/womensbasketballworldcup/2022/player/Kendra-Chery,N/A,Small Forward,Kendra Chery (FRA),Chery,4,31,1875,11,4,6,1,4,0,0,0,1,1,1,1,1,2,9,19,0,0
