PlayerId,Position,OfficialName,Team,GamesPlayedTotal,MinutesTotal,SecondsTotal,PointsTotal,FieldGoals2PointsMadeTotal,FieldGoals2PointsAttemptedTotal,FieldGoals3PointsMadeTotal,FieldGoals3PointsAttemptedTotal,FreeThrowsMadeTotal,FreeThrowsAttemptedTotal,OffensiveReboundsTotal,DefensiveReboundsTotal,BlocksTotal,AssistsTotal,TurnOversTotal,StealsTotal,PersonalFoulsTotal,Efficiency,PlusMinus,DoubleDoubles,TripleDoubles,ReboundsTotal
224131,Center,Xu Han,CHN,8,175,10507,99,41,70,1,10,14,19,13,54,14,5,6,5,8,141.0,100,2,0,67
188921,Guard,Weina Jin,CHN,5,71,4300,9,3,6,1,4,0,0,3,3,0,4,1,3,1,15.0,2,0,0,6
257740,Forward,Zhenqi Pan,CHN,8,112,6725,27,7,15,3,6,4,4,7,15,1,10,4,0,15,45.0,61,0,0,22
272269,Guard,Tongtong Wu,CHN,8,130,7814,52,14,21,6,17,6,6,3,8,0,17,9,5,14,58.0,75,0,0,11
324440,Center,Dilixiati Dilana,CHN,4,21,1270,6,3,5,0,0,0,0,1,6,0,3,4,3,3,13.0,14,0,0,7
161501,Forward,Danbi Kim,KOR,5,124,7479,19,4,14,2,14,5,5,2,11,3,19,11,2,4,23.0,-79,0,0,13
197052,Point Guard,Jihyun Shin,KOR,5,71,4300,25,7,18,3,7,2,4,2,8,1,13,6,3,8,29.0,-30,0,0,10
241163,Guard,Yeeun Heo,KOR,4,23,1396,0,0,5,0,4,0,0,1,0,0,4,1,1,5,-4.0,-26,0,0,1
161499,Guard,Hyejin Park,KOR,5,149,8994,62,10,20,14,28,0,1,5,12,0,14,9,6,7,65.0,-84,0,0,17
219253,Guard,Jihyun Park,KOR,5,143,8628,64,21,42,5,22,7,7,2,15,2,14,11,9,13,57.0,-89,0,0,17
219255,Guard,Sohee Lee,KOR,5,31,1918,19,5,8,3,7,0,0,4,2,0,1,6,1,4,14.0,-46,0,0,6
207719,Guard,Yebin Yoon,KOR,5,88,5336,19,5,19,3,11,0,0,3,4,2,2,4,6,7,10.0,-83,0,0,7
203569,Forward,Leeseul Kang,KOR,5,145,8739,86,11,24,19,48,7,7,3,11,0,8,6,6,10,66.0,-77,0,0,14
216921,Center,An Jin,KOR,5,80,4820,20,9,23,0,0,2,4,7,10,0,1,4,2,10,20.0,-86,0,0,17
197064,Center,Inyoung Yang,KOR,5,70,4229,21,10,21,0,0,1,2,6,2,5,5,3,1,11,25.0,-42,0,0,8
212158,Center,Sodam Kim,KOR,5,54,3295,10,5,11,0,0,0,0,1,2,2,4,1,1,10,13.0,-80,0,0,3
190766,Point Guard,Julie Allemand,BEL,6,167,10022,61,16,26,7,23,8,10,2,14,0,38,10,11,4,88.0,-19,0,0,16
170499,Point Guard,Hind Ben Abdelkader,BEL,6,121,7277,56,9,27,12,28,2,2,1,9,0,10,5,6,12,43.0,4,0,0,10
173348,Small Forward,Antonia Delaere,BEL,6,126,7618,45,17,38,2,7,5,6,1,11,0,14,12,4,7,36.0,7,0,0,12
238986,Center,Ine Joris,BEL,5,22,1326,3,0,3,1,1,0,0,1,1,1,1,1,1,1,4.0,-5,0,0,2
190762,Center,Kyara Linskens,BEL,6,132,7944,77,31,59,2,5,9,11,5,41,3,7,8,4,14,96.0,-31,1,0,46
226131,Small Forward,Maxuella Lisowa Mbaka,BEL,6,110,6606,33,13,22,1,3,4,6,11,14,0,7,7,8,10,53.0,11,0,0,25
210751,Center,Becky Massey,BEL,6,101,6096,22,6,15,2,3,4,4,3,9,4,7,8,6,10,33.0,20,0,0,12
218960,Center,Billie Massey,BEL,6,104,6281,24,7,18,2,6,4,8,9,17,5,7,4,4,12,43.0,-8,0,0,26
